term,component_1,component_2
story,-0.32416906513685884,-0.044440901278595325
income,-0.32331396130941253,0.09141146724812174
speakers,-0.3232874004724602,-0.022730358861309027
grade,-0.32200636219850803,0.02238993244160806
learning process,-0.32180884245844815,-0.2808830213930399
adult,-0.32159377352212754,0.302975416472667
social,-0.31939802432052194,-0.1091233586779285
care,-0.31772516476743673,0.14712996711687368
century,-0.3156771822754557,-0.011147037514049073
thinking,-0.31523181852716564,-0.22176167657561668
control group,-0.3139930792052411,0.35912554221062154
united states,-0.3135589393927154,0.09428408751560007
covid,-0.3130201735326104,-0.025098190794021577
peer,-0.3128260847995125,-0.1511442770244155
engage,-0.3125582607104636,-0.20575564662928883
analyzed using,-0.31124313725709113,0.08133798749197697
readers,-0.3109134009866091,-0.10642333626662955
identity,-0.310685130262417,-0.10239828544607943
society,-0.31063743107935715,-0.07761425702011426
engaged,-0.3097983209903091,-0.10912509810349098
views,-0.3089819587798516,-0.09654259512487597
adults,-0.30880516240477146,0.25127929524717485
written,-0.3076757381197309,-0.043789441350562716
lexical,-0.30699482550722607,-0.026918640310381263
articles,-0.30588681765534315,-0.09145433358311665
government,-0.30555529231092304,-0.06640149161915715
evidence based,-0.3049677123103747,0.05856599188710154
inclusive,-0.3045786407451744,-0.3027178848979189
purpose study,-0.3042991329713222,0.0353531145668175
systemic,-0.3040892781314599,0.03945795567293645
programs,-0.30269207373590934,-0.06078591434927851
creativity,-0.30240245519871284,-0.2923634478915607
united,-0.30209980097271455,0.06491961712769438
foster,-0.3018099493060109,-0.294371213117479
department,-0.30157263575096976,0.0943625087821756
questions,-0.3004856875392967,-0.054326553569648425
lessons,-0.29951758823722463,-0.18434758304574111
course,-0.29740905537668166,-0.05504618963462184
psychology,-0.2966276427731537,-0.10206748283695902
research conducted,-0.29555883031638136,-0.017977615792747554
documentation,-0.2955122326569713,-0.11739201125399365
country,-0.29482552946536933,0.018770595845160547
consisted,-0.29432472452865427,0.18123087148469347
employees,-0.29393986054315546,-0.155441309600919
older,-0.2935060191001377,0.1938921192275504
indonesia,-0.29289137392696707,-0.08890927021145921
encourage,-0.2922667297326176,-0.12965002205806644
took,-0.2920761434816165,0.09051655540472696
federal,-0.2908926091243949,0.04933721042031639
chapter,-0.29053759746910046,-0.010739666135798555
barriers,-0.28918510399850833,-0.1379522043012797
mental,-0.2877254387172552,0.060774840621627815
africa,-0.28767636559035464,0.12135299366581512
german,-0.287578617409518,0.029760116255912492
age,-0.28715552798330823,0.2676141797451527
languages,-0.28695603391139274,-0.12130826142666218
creative,-0.285869254026756,-0.23260343020295735
provision,-0.28483768213633975,-0.03844565755445217
gamification,-0.2828527737150823,-0.3688957381032342
community,-0.2826445964011292,0.007111908055080229
hospital,-0.2808589622125308,0.4936159018939364
interests,-0.28072954917560256,-0.12430512979457584
workers,-0.28058911519072,0.017950236794504894
publication,-0.2804114969612499,-0.02558669833605065
verbal,-0.2795667511805574,-0.01511230871489495
adherence,-0.2792147378216272,0.20605038250553764
professionals,-0.2791165747611336,-0.09535280181177526
initiatives,-0.27796239152075214,-0.2115358520492523
national,-0.2774053734076611,0.03643701342891023
conflict,-0.27573933888633556,-0.004024940158650057
roles,-0.27544674674155534,-0.07475474942156532
rural,-0.2753244237587503,0.029088388293533867
clinical practice,-0.27526579474044544,0.3062617234918636
crisis,-0.2750747337712532,-0.03539355570062078
job,-0.2749852591836152,-0.10544490097913436
audience,-0.27473689127259837,-0.19995216494179205
perceived,-0.27472740930979533,-0.07879540837653874
personal,-0.2742305988133053,-0.10652611135899658
secondary,-0.27288258228572465,0.08798680236739816
employee,-0.2727348053842686,-0.2120527848541308
asked,-0.27050505228747845,0.06142656231302249
held,-0.26967182526206007,0.01774053260209359
strengthening,-0.2685305073692434,-0.11942873549653137
symptoms,-0.26845671614829725,0.49525285346310954
significant difference,-0.26823670628952406,0.3997153193427615
experiences,-0.2678414961782846,-0.2126571857468683
expectations,-0.2677826584295886,-0.14138688847818026
engaging,-0.2672100721673675,-0.26841725803438404
persons,-0.2669702254051462,0.06297949093484866
old,-0.26581360714274493,0.28565835442586923
collective,-0.26539208900377675,-0.10496734035262255
pain,-0.2653006847269769,0.49756591270279354
semi,-0.26457700308653403,-0.032671179145797695
awareness,-0.26138886559482505,-0.11542140768936503
policies,-0.26136024908666217,-0.09948236970054175
history,-0.2613584272587292,0.09283056301013867
study used,-0.2603387998909132,0.07058351522537527
instrument,-0.2603338477207704,0.03862837216406126
fostering,-0.2593449834151138,-0.36158035254141985
emotional,-0.2582369130478548,-0.09291034927296941
actors,-0.25734095333942897,-0.15677324556157937
week,-0.25666278334464804,0.35041789747644797
read,-0.2562076368224386,-0.04807333667995011
public health,-0.2561962616478455,0.37275122813009964
originality value,-0.2561104523818203,-0.25447573647693245
news,-0.2560611520702201,-0.13881181318621158
inclusion,-0.2558758836054187,0.00922118089412799
